                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.119,                  2.614,                 1.1158,                0.03055,                0.00391,                0.01547,                0.00624,                 3.1169,                 209.71,                 2.9265,               0.070857,              0.0032381,              0.0032381
                      2,                 2.0643,                 1.9385,                 1.1068,                0.04217,                 0.0452,                0.01655,                 0.0062,                 2.4216,                 3.7141,                 1.4111,               0.040835,              0.0065497,              0.0065497
                      3,                 2.0334,                 1.8054,                 1.1004,                0.05825,                0.06191,                0.03154,                0.01291,                 2.1911,                 3.6431,                 1.2888,               0.010792,              0.0098394,              0.0098394
                      4,                  2.023,                 1.7757,                 1.1033,                 0.0615,                0.06513,                0.04587,                0.02045,                 2.0361,                 2.2761,                 1.1927,               0.009901,               0.009901,               0.009901
                      5,                  1.903,                 1.6635,                 1.0692,                0.41923,                 0.0992,                0.07629,                0.03606,                 2.0672,                 1.8355,                 1.1292,               0.009901,               0.009901,               0.009901
                      6,                 1.9318,                 1.6412,                 1.0687,                0.06818,                0.09614,                0.06076,                 0.0281,                 2.3025,                 2.1693,                 1.1915,               0.009868,               0.009868,               0.009868
                      7,                 1.8894,                 1.6102,                 1.0539,                0.11633,                 0.1453,                0.09486,                0.04624,                 1.9427,                 1.6973,                   1.07,               0.009835,               0.009835,               0.009835
                      8,                 1.8549,                 1.5764,                 1.0525,                0.22464,                0.17639,                0.10867,                0.05038,                 1.9146,                 1.7828,                 1.0754,               0.009802,               0.009802,               0.009802
                      9,                 1.8612,                 1.5442,                  1.037,                0.44041,                0.12156,                0.10691,                0.05079,                 1.8878,                 1.7182,                 1.0711,               0.009769,               0.009769,               0.009769
                     10,                 1.7961,                 1.5164,                 1.0383,                0.15781,                0.17077,                0.12524,                0.06121,                  1.776,                 1.5628,                 1.0363,               0.009736,               0.009736,               0.009736
                     11,                 1.7951,                 1.4949,                 1.0313,                 0.2604,                0.16422,                0.12259,                0.06207,                 1.8155,                  1.614,                 1.0581,               0.009703,               0.009703,               0.009703
                     12,                 1.7659,                 1.4572,                 1.0277,                0.36777,                0.15587,                0.12887,                0.06495,                 1.7652,                 1.6946,                 1.0446,                0.00967,                0.00967,                0.00967
                     13,                 1.7931,                  1.478,                 1.0281,                0.28812,                0.18779,                0.13556,                0.07073,                 1.7162,                 1.7552,                 1.0297,               0.009637,               0.009637,               0.009637
                     14,                 1.7594,                 1.4513,                 1.0236,                0.27654,                0.18845,                0.13826,                0.06868,                  1.805,                 1.5494,                 1.0394,               0.009604,               0.009604,               0.009604
                     15,                 1.7307,                 1.4215,                 1.0182,                0.24551,                 0.1963,                0.15947,                0.08192,                  1.703,                 1.4848,                 1.0243,               0.009571,               0.009571,               0.009571
                     16,                 1.7206,                 1.4096,                 1.0106,                0.28623,                0.17834,                0.13901,                0.07138,                 1.7927,                 1.5124,                  1.037,               0.009538,               0.009538,               0.009538
                     17,                 1.7313,                 1.4065,                 1.0106,                0.33874,                0.19329,                0.16076,                  0.085,                 1.6545,                 1.4902,                 1.0061,               0.009505,               0.009505,               0.009505
                     18,                 1.7248,                 1.4018,                 1.0212,                0.23747,                0.20324,                0.16469,                0.08562,                 1.7041,                 1.4547,                 1.0171,               0.009472,               0.009472,               0.009472
                     19,                 1.7112,                 1.3689,                 1.0058,                0.30608,                0.18271,                0.14104,                0.07102,                 1.7372,                 1.4828,                 1.0232,               0.009439,               0.009439,               0.009439
                     20,                 1.6983,                 1.3506,                 1.0009,                0.25916,                0.14114,                0.09889,                0.04787,                  2.075,                  1.738,                 1.1083,               0.009406,               0.009406,               0.009406
                     21,                 1.7101,                 1.3617,                 1.0138,                0.29922,                  0.178,                0.13924,                0.07316,                 1.7329,                 1.5046,                  1.014,               0.009373,               0.009373,               0.009373
                     22,                 1.7231,                 1.3574,                  1.011,                 0.2783,                0.22903,                0.18941,                  0.102,                 1.6614,                 1.3796,                  1.018,                0.00934,                0.00934,                0.00934
                     23,                 1.6772,                   1.34,                0.99718,                0.35323,                0.20689,                0.17331,                0.09595,                 1.6549,                 1.4948,                 1.0034,               0.009307,               0.009307,               0.009307
                     24,                 1.6688,                 1.3215,                0.99554,                0.36719,                0.22138,                0.19403,                0.10185,                 1.6513,                 1.3232,                 0.9947,               0.009274,               0.009274,               0.009274
                     25,                 1.6523,                 1.2953,                 0.9959,                0.30238,                0.22718,                 0.2023,                0.10727,                 1.5877,                 1.2973,                0.98231,               0.009241,               0.009241,               0.009241
                     26,                 1.6408,                 1.2878,                0.98371,                0.31132,                0.24797,                0.21483,                0.11524,                 1.6276,                 1.2699,                0.98612,               0.009208,               0.009208,               0.009208
                     27,                 1.6411,                 1.2909,                0.99022,                0.41862,                0.23884,                0.21643,                0.11563,                 1.5833,                 1.2797,                0.97737,               0.009175,               0.009175,               0.009175
                     28,                 1.6023,                  1.278,                0.98898,                0.29338,                 0.2449,                 0.2052,                0.11069,                 1.6059,                 1.2909,                0.98829,               0.009142,               0.009142,               0.009142
                     29,                 1.6151,                 1.2666,                0.97679,                0.30177,                0.22954,                0.21032,                 0.1146,                 1.6305,                 1.3585,                0.98762,               0.009109,               0.009109,               0.009109
                     30,                 1.6413,                 1.2892,                0.98672,                0.38508,                0.24388,                0.20997,                0.11035,                 1.6155,                 1.3109,                0.98117,               0.009076,               0.009076,               0.009076
                     31,                 1.6163,                 1.2593,                0.97398,                0.32703,                0.25259,                0.22374,                0.12328,                 1.5599,                 1.2627,                0.96541,               0.009043,               0.009043,               0.009043
                     32,                  1.614,                 1.2595,                0.97906,                0.41783,                0.21837,                0.19678,                0.10274,                 1.6676,                 1.2988,                0.98465,                0.00901,                0.00901,                0.00901
                     33,                 1.5981,                 1.2486,                0.97366,                0.31174,                0.25082,                0.21619,                0.11609,                 1.5787,                 1.3262,                0.97473,               0.008977,               0.008977,               0.008977
                     34,                 1.6334,                 1.2545,                0.97826,                 0.4393,                0.25978,                0.23714,                0.12956,                 1.5689,                 1.2909,                0.97727,               0.008944,               0.008944,               0.008944
                     35,                 1.6277,                 1.2709,                0.98643,                0.28723,                0.23401,                0.20221,                0.10887,                 1.6661,                 1.2765,                0.99602,               0.008911,               0.008911,               0.008911
                     36,                 1.6418,                  1.269,                0.98194,                 0.3592,                0.26408,                0.24457,                0.13451,                 1.5377,                 1.2336,                0.97919,               0.008878,               0.008878,               0.008878
                     37,                 1.6234,                 1.2442,                0.98009,                0.35193,                0.26631,                0.24243,                0.13415,                 1.5525,                 1.2271,                0.96842,               0.008845,               0.008845,               0.008845
                     38,                 1.5991,                 1.2431,                0.97555,                0.41664,                0.26417,                 0.2311,                0.12573,                 1.5564,                  1.317,                0.97346,               0.008812,               0.008812,               0.008812
                     39,                 1.6001,                 1.2269,                0.96926,                0.36924,                0.26614,                0.24178,                0.13166,                 1.5507,                 1.2126,                 0.9705,               0.008779,               0.008779,               0.008779
                     40,                 1.6008,                 1.2334,                0.97017,                0.41126,                  0.212,                0.20239,                0.10999,                 1.6862,                 1.3092,                 1.0009,               0.008746,               0.008746,               0.008746
                     41,                 1.6137,                 1.2372,                0.97568,                0.34562,                 0.2579,                0.24156,                0.13339,                 1.5501,                 1.2211,                0.96979,               0.008713,               0.008713,               0.008713
                     42,                 1.5944,                 1.2171,                0.97678,                0.40957,                0.25442,                0.24444,                  0.133,                 1.5718,                 1.1946,                 0.9685,                0.00868,                0.00868,                0.00868
                     43,                 1.5866,                 1.2038,                0.96268,                0.43084,                0.25529,                0.23989,                0.13353,                  1.544,                 1.2021,                0.96043,               0.008647,               0.008647,               0.008647
                     44,                 1.5764,                 1.1939,                  0.963,                0.36691,                0.27588,                0.25523,                0.13823,                 1.5216,                 1.1838,                0.96561,               0.008614,               0.008614,               0.008614
                     45,                 1.5704,                 1.2093,                0.96478,                0.33431,                0.26675,                0.23855,                0.12964,                 1.5203,                 1.2606,                0.96043,               0.008581,               0.008581,               0.008581
                     46,                 1.5828,                 1.1968,                0.96482,                0.34071,                0.25718,                 0.2452,                0.13499,                 1.5469,                 1.1945,                0.96256,               0.008548,               0.008548,               0.008548
                     47,                 1.5891,                 1.1972,                 0.9683,                0.35509,                  0.275,                0.25548,                0.13905,                 1.5217,                 1.1725,                0.96816,               0.008515,               0.008515,               0.008515
                     48,                 1.5521,                 1.1756,                0.95469,                0.43801,                0.27332,                0.25822,                0.14036,                 1.5027,                 1.1893,                0.95331,               0.008482,               0.008482,               0.008482
                     49,                 1.5804,                 1.1982,                0.96648,                0.37809,                 0.2711,                0.26232,                 0.1437,                 1.5352,                 1.2143,                0.95891,               0.008449,               0.008449,               0.008449
                     50,                 1.5703,                 1.1901,                0.95676,                0.35337,                0.26861,                0.24881,                0.13707,                 1.5259,                 1.1742,                0.95493,               0.008416,               0.008416,               0.008416
                     51,                 1.5481,                 1.1547,                0.95629,                0.36075,                0.28779,                0.27577,                0.15451,                 1.4746,                 1.1413,                  0.948,               0.008383,               0.008383,               0.008383
                     52,                 1.5461,                 1.1683,                0.96158,                0.38427,                0.29444,                0.27234,                0.15426,                 1.4846,                 1.1928,                0.95299,                0.00835,                0.00835,                0.00835
                     53,                 1.5521,                 1.1713,                0.95218,                0.37885,                0.28321,                0.26875,                0.15199,                 1.4839,                 1.1426,                0.95146,               0.008317,               0.008317,               0.008317
                     54,                 1.5733,                 1.1781,                0.95936,                0.38525,                0.26864,                0.25661,                 0.1401,                 1.5117,                 1.1765,                0.95239,               0.008284,               0.008284,               0.008284
